"","sitename","X.x","distances","rank","quartile","dispersion","X.y","site_transect","transect_no","CORAL","OI","MA","MA_noHALI","BCA","CCA","SAND","FCA","RUB","TURF","HALI","BSR"
"85","Fagatele",15,10.7317419642133,11,2,"Med",89,"Fagatele_5",5,39.2307692307692,3.07692307692308,6.15384615384615,3.07692307692308,1.53846153846154,31.5384615384615,0,13.0769230769231,0,5.38461538461539,3.07692307692308,3.49999999999999
"86","Fagatele",15,10.7317419642133,11,2,"Med",88,"Fagatele_4",4,36.1538461538462,3.84615384615385,3.07692307692308,0.769230769230769,0.769230769230769,30,0,23.8461538461538,0,2.30769230769231,2.30769230769231,2.57142857142858
"87","Fagatele",15,10.7317419642133,11,2,"Med",90,"Fagatele_6",6,32.3076923076923,2.30769230769231,6.92307692307692,6.92307692307692,0.769230769230769,35.3846153846154,0,20.7692307692308,0,1.53846153846154,0,2.34210526315789
"88","Fagatele",15,10.7317419642133,11,2,"Med",85,"Fagatele_1",1,40.7692307692308,4.61538461538461,9.23076923076923,3.07692307692308,0.769230769230769,17.6923076923077,0,19.2307692307692,0.769230769230769,6.92307692307692,6.15384615384615,2.23684210526316
"89","Fagatele",15,10.7317419642133,11,2,"Med",87,"Fagatele_3",3,50,0.769230769230769,2.30769230769231,0.769230769230769,0,20,0,22.3076923076923,0,4.61538461538461,1.53846153846154,2.58333333333333
"90","Fagatele",15,10.7317419642133,11,2,"Med",86,"Fagatele_2",2,46.9230769230769,0.769230769230769,5.38461538461539,1.53846153846154,0,24.6153846153846,0,13.0769230769231,0,9.23076923076923,3.84615384615385,3.16129032258064
"91","Laulii",16,15.7088058128927,22,4,"High",95,"Laulii_5",5,17.6923076923077,10.7692307692308,3.07692307692308,1.53846153846154,5.38461538461539,33.8461538461538,0,25.3846153846154,0,3.84615384615385,1.53846153846154,1.9
"92","Laulii",16,15.7088058128927,22,4,"High",96,"Laulii_6",6,22.3076923076923,25.3846153846154,0.769230769230769,0.769230769230769,7.69230769230769,24.6153846153846,0,12.3076923076923,0.769230769230769,6.15384615384615,0,2.84
"93","Laulii",16,15.7088058128927,22,4,"High",94,"Laulii_4",4,34.6153846153846,2.30769230769231,0,0,3.07692307692308,40,1.53846153846154,12.3076923076923,0,6.15384615384615,0,4.20833333333334
"94","Laulii",16,15.7088058128927,22,4,"High",91,"Laulii_1",1,16.9230769230769,0,3.07692307692308,3.07692307692308,6.15384615384615,23.8461538461538,0,46.9230769230769,0,3.07692307692308,0,0.884057971014492
"95","Laulii",16,15.7088058128927,22,4,"High",92,"Laulii_2",2,17.6,4,0.8,0.8,2.4,36,0,34.4,0.8,4,0,1.42857142857143
"96","Laulii",16,15.7088058128927,22,4,"High",93,"Laulii_3",3,25.3846153846154,6.92307692307692,1.53846153846154,1.53846153846154,0,38.4615384615385,0,25.3846153846154,0,2.30769230769231,0,2.18421052631579
"97","Leone2",17,9.48737226213436,7,1,"Low",102,"Leone2_6",6,38.4615384615385,1.53846153846154,14.6153846153846,14.6153846153846,0,31.5384615384615,0,12.3076923076923,0,1.53846153846154,0,2.45945945945946
"98","Leone2",17,9.48737226213436,7,1,"Low",101,"Leone2_5",5,42.3076923076923,2.30769230769231,3.84615384615385,3.84615384615385,0,20,0,14.6153846153846,0,16.9230769230769,0,1.76086956521739
"99","Leone2",17,9.48737226213436,7,1,"Low",99,"Leone2_3",3,48.4615384615385,0.769230769230769,12.3076923076923,12.3076923076923,0,26.1538461538462,0,9.23076923076923,0,3.07692307692308,0,3.03125
"100","Leone2",17,9.48737226213436,7,1,"Low",97,"Leone2_1",1,50.7692307692308,2.30769230769231,3.84615384615385,3.84615384615385,0,28.4615384615385,0,13.0769230769231,0,1.53846153846154,0,4.29166666666666
"101","Leone2",17,9.48737226213436,7,1,"Low",98,"Leone2_2",2,44.6153846153846,1.53846153846154,13.0769230769231,13.0769230769231,0.769230769230769,22.3076923076923,0,11.5384615384615,0,6.15384615384615,0,2.2
"102","Leone2",17,9.48737226213436,7,1,"Low",100,"Leone2_4",4,48.4615384615385,0,8.46153846153846,6.15384615384615,0,24.6153846153846,0,13.0769230769231,0,5.38461538461539,2.30769230769231,3.0625
"103","Maloata",18,9.47653506162402,6,1,"Low",105,"Maloata_3",3,55.3846153846154,0,0,0,2.30769230769231,20,0,20.7692307692308,0,1.53846153846154,0,3.48275862068965
"104","Maloata",18,9.47653506162402,6,1,"Low",103,"Maloata_1",1,56.1538461538462,0,0,0,6.15384615384615,18.4615384615385,0,16.1538461538462,0,3.07692307692308,0,4.19999999999999
"105","Maloata",18,9.47653506162402,6,1,"Low",107,"Maloata_5",5,62.3076923076923,0,0,0,0,26.1538461538462,0,10.7692307692308,0,0.769230769230769,0,7.66666666666665
"106","Maloata",18,9.47653506162402,6,1,"Low",106,"Maloata_4",4,60.7692307692308,0,0,0,0,16.1538461538462,0,22.3076923076923,0,0.769230769230769,0,3.33333333333334
"107","Maloata",18,9.47653506162402,6,1,"Low",108,"Maloata_6",6,68.4615384615385,0,0,0,0,18.4615384615385,0,12.3076923076923,0,0.769230769230769,0,6.64705882352942
"108","Maloata",18,9.47653506162402,6,1,"Low",104,"Maloata_2",2,45.3846153846154,0,0.769230769230769,0,0.769230769230769,23.8461538461538,0,29.2307692307692,0,0,0.769230769230769,2.42105263157895
"109","Masausi",19,8.57975196379839,3,1,"Low",113,"Masausi_5",5,36.9230769230769,0,3.84615384615385,0,1.53846153846154,16.1538461538462,0,39.2307692307692,0,2.30769230769231,3.84615384615385,1.40740740740741
"110","Masausi",19,8.57975196379839,3,1,"Low",109,"Masausi_1",1,48.4615384615385,1.53846153846154,0.769230769230769,0,0.769230769230769,13.8461538461538,0,20.7692307692308,0,13.8461538461538,0.769230769230769,1.84444444444445
"111","Masausi",19,8.57975196379839,3,1,"Low",110,"Masausi_2",2,46.1538461538462,0,3.07692307692308,0,2.30769230769231,16.1538461538462,0,29.2307692307692,0,3.07692307692308,3.07692307692308,2.0952380952381
"112","Masausi",19,8.57975196379839,3,1,"Low",111,"Masausi_3",3,50,0,0,0,1.53846153846154,13.0769230769231,0,32.3076923076923,0,3.07692307692308,0,1.82608695652174
"113","Masausi",19,8.57975196379839,3,1,"Low",114,"Masausi_6",6,48.4615384615385,0,3.84615384615385,0,3.84615384615385,10.7692307692308,0,29.2307692307692,0,3.84615384615385,3.84615384615385,2.02325581395349
